District,Urban/Rural,Age_years,Male,Female,Total,County,Province,OBJECTID
NAIROBI EAST,Urban,64,501,307,808,Nairobi,NAIROBI,146
NAIROBI EAST,Urban,65,618,457,1075,Nairobi,NAIROBI,147
NAIROBI EAST,Urban,66,293,220,513,Nairobi,NAIROBI,148
NAIROBI EAST,Urban,67,355,235,590,Nairobi,NAIROBI,149
NAIROBI EAST,Urban,68,238,213,451,Nairobi,NAIROBI,150
NAIROBI EAST,Urban,69,248,205,453,Nairobi,NAIROBI,151
NAIROBI EAST,Urban,70,371,454,825,Nairobi,NAIROBI,152
NAIROBI EAST,Urban,71,145,124,269,Nairobi,NAIROBI,153
NAIROBI EAST,Urban,72,183,142,325,Nairobi,NAIROBI,154
NAIROBI EAST,Urban,73,124,134,258,Nairobi,NAIROBI,155
NAIROBI EAST,Urban,74,103,138,241,Nairobi,NAIROBI,156
NAIROBI EAST,Urban,75,170,184,354,Nairobi,NAIROBI,157
NAIROBI EAST,Urban,76,95,116,211,Nairobi,NAIROBI,158
NAIROBI EAST,Urban,77,87,78,165,Nairobi,NAIROBI,159
NAIROBI EAST,Urban,78,87,103,190,Nairobi,NAIROBI,160
NAIROBI EAST,Urban,79,77,110,187,Nairobi,NAIROBI,161
NAIROBI EAST,Urban,80+,787,1342,2129,Nairobi,NAIROBI,162
NAIROBI EAST,Urban,Age NS,456,226,682,Nairobi,NAIROBI,163
NAIROBI NORTH,Urban,0,16399,16210,32609,Nairobi,NAIROBI,164
NAIROBI NORTH,Urban,1,12640,12620,25260,Nairobi,NAIROBI,165
NAIROBI NORTH,Urban,2,13583,13414,26997,Nairobi,NAIROBI,166
NAIROBI NORTH,Urban,3,13085,12950,26035,Nairobi,NAIROBI,167
NAIROBI NORTH,Urban,4,12537,12377,24914,Nairobi,NAIROBI,168
NAIROBI NORTH,Urban,5,11980,11723,23703,Nairobi,NAIROBI,169
NAIROBI NORTH,Urban,6,10669,10739,21408,Nairobi,NAIROBI,170
NAIROBI NORTH,Urban,7,10034,10240,20274,Nairobi,NAIROBI,171
NAIROBI NORTH,Urban,8,9463,9831,19294,Nairobi,NAIROBI,172
NAIROBI NORTH,Urban,9,9709,10009,19718,Nairobi,NAIROBI,173
NAIROBI NORTH,Urban,10,9655,10245,19900,Nairobi,NAIROBI,174
NAIROBI NORTH,Urban,11,7444,7818,15262,Nairobi,NAIROBI,175
NAIROBI NORTH,Urban,12,8662,9076,17738,Nairobi,NAIROBI,176
NAIROBI NORTH,Urban,13,8304,8738,17042,Nairobi,NAIROBI,177
NAIROBI NORTH,Urban,14,7289,7864,15153,Nairobi,NAIROBI,178
NAIROBI NORTH,Urban,15,7142,8370,15512,Nairobi,NAIROBI,179
NAIROBI NORTH,Urban,16,7099,9353,16452,Nairobi,NAIROBI,180
NAIROBI NORTH,Urban,17,8284,10593,18877,Nairobi,NAIROBI,181
NAIROBI NORTH,Urban,18,9885,12901,22786,Nairobi,NAIROBI,182
NAIROBI NORTH,Urban,19,9518,13204,22722,Nairobi,NAIROBI,183
NAIROBI NORTH,Urban,20,14284,20517,34801,Nairobi,NAIROBI,184
NAIROBI NORTH,Urban,21,12241,15121,27362,Nairobi,NAIROBI,185
NAIROBI NORTH,Urban,22,15923,19585,35508,Nairobi,NAIROBI,186
NAIROBI NORTH,Urban,23,16443,18839,35282,Nairobi,NAIROBI,187
NAIROBI NORTH,Urban,24,16334,18226,34560,Nairobi,NAIROBI,188
NAIROBI NORTH,Urban,25,20175,20637,40812,Nairobi,NAIROBI,189
NAIROBI NORTH,Urban,26,15332,15410,30742,Nairobi,NAIROBI,190
NAIROBI NORTH,Urban,27,15781,13983,29764,Nairobi,NAIROBI,191
NAIROBI NORTH,Urban,28,15773,15459,31232,Nairobi,NAIROBI,192
NAIROBI NORTH,Urban,29,12957,11014,23971,Nairobi,NAIROBI,193
NAIROBI NORTH,Urban,30,20554,16771,37325,Nairobi,NAIROBI,194
NAIROBI NORTH,Urban,31,9295,6477,15772,Nairobi,NAIROBI,195
NAIROBI NORTH,Urban,32,13287,10045,23332,Nairobi,NAIROBI,196
NAIROBI NORTH,Urban,33,8121,6125,14246,Nairobi,NAIROBI,197
NAIROBI NORTH,Urban,34,9419,6352,15771,Nairobi,NAIROBI,198
NAIROBI NORTH,Urban,35,14483,9844,24327,Nairobi,NAIROBI,199
NAIROBI NORTH,Urban,36,7546,5368,12914,Nairobi,NAIROBI,200
NAIROBI NORTH,Urban,37,7038,4806,11844,Nairobi,NAIROBI,201
NAIROBI NORTH,Urban,38,7894,5993,13887,Nairobi,NAIROBI,202
NAIROBI NORTH,Urban,39,6422,4370,10792,Nairobi,NAIROBI,203
NAIROBI NORTH,Urban,40,11235,7256,18491,Nairobi,NAIROBI,204
NAIROBI NORTH,Urban,41,4226,2487,6713,Nairobi,NAIROBI,205
NAIROBI NORTH,Urban,42,6037,3684,9721,Nairobi,NAIROBI,206
NAIROBI NORTH,Urban,43,4257,2683,6940,Nairobi,NAIROBI,207
NAIROBI NORTH,Urban,44,3446,2129,5575,Nairobi,NAIROBI,208
NAIROBI NORTH,Urban,45,6713,4226,10939,Nairobi,NAIROBI,209
NAIROBI NORTH,Urban,46,3986,2518,6504,Nairobi,NAIROBI,210
NAIROBI NORTH,Urban,47,3741,2094,5835,Nairobi,NAIROBI,211
NAIROBI NORTH,Urban,48,3654,2256,5910,Nairobi,NAIROBI,212
NAIROBI NORTH,Urban,49,3438,1858,5296,Nairobi,NAIROBI,213
NAIROBI NORTH,Urban,50,5080,3303,8383,Nairobi,NAIROBI,214
NAIROBI NORTH,Urban,51,2213,1117,3330,Nairobi,NAIROBI,215
NAIROBI NORTH,Urban,52,2562,1403,3965,Nairobi,NAIROBI,216
NAIROBI NORTH,Urban,53,1889,956,2845,Nairobi,NAIROBI,217
NAIROBI NORTH,Urban,54,1923,1043,2966,Nairobi,NAIROBI,218
NAIROBI NORTH,Urban,55,2408,1489,3897,Nairobi,NAIROBI,219
NAIROBI NORTH,Urban,56,1625,932,2557,Nairobi,NAIROBI,220
NAIROBI NORTH,Urban,57,1477,747,2224,Nairobi,NAIROBI,221
NAIROBI NORTH,Urban,58,1153,681,1834,Nairobi,NAIROBI,222
NAIROBI NORTH,Urban,59,1048,597,1645,Nairobi,NAIROBI,223
NAIROBI NORTH,Urban,60,1938,1560,3498,Nairobi,NAIROBI,224
NAIROBI NORTH,Urban,61,716,399,1115,Nairobi,NAIROBI,225
NAIROBI NORTH,Urban,62,832,467,1299,Nairobi,NAIROBI,226
NAIROBI NORTH,Urban,63,648,332,980,Nairobi,NAIROBI,227
NAIROBI NORTH,Urban,64,564,346,910,Nairobi,NAIROBI,228
NAIROBI NORTH,Urban,65,838,718,1556,Nairobi,NAIROBI,229
NAIROBI NORTH,Urban,66,344,241,585,Nairobi,NAIROBI,230
NAIROBI NORTH,Urban,67,387,305,692,Nairobi,NAIROBI,231
NAIROBI NORTH,Urban,68,321,263,584,Nairobi,NAIROBI,232
NAIROBI NORTH,Urban,69,291,235,526,Nairobi,NAIROBI,233
NAIROBI NORTH,Urban,70,657,784,1441,Nairobi,NAIROBI,234
NAIROBI NORTH,Urban,71,187,143,330,Nairobi,NAIROBI,235
NAIROBI NORTH,Urban,72,242,175,417,Nairobi,NAIROBI,236
NAIROBI NORTH,Urban,73,182,136,318,Nairobi,NAIROBI,237
NAIROBI NORTH,Urban,74,178,138,316,Nairobi,NAIROBI,238
NAIROBI NORTH,Urban,75,257,292,549,Nairobi,NAIROBI,239
NAIROBI NORTH,Urban,76,124,128,252,Nairobi,NAIROBI,240
NAIROBI NORTH,Urban,77,107,82,189,Nairobi,NAIROBI,241
NAIROBI NORTH,Urban,78,115,123,238,Nairobi,NAIROBI,242
NAIROBI NORTH,Urban,79,86,98,184,Nairobi,NAIROBI,243
NAIROBI NORTH,Urban,80+,1128,1679,2807,Nairobi,NAIROBI,244
NAIROBI NORTH,Urban,Age NS,765,1065,1830,Nairobi,NAIROBI,245
WESTLANDS,Urban,0,2704,2692,5396,Nairobi,NAIROBI,246
WESTLANDS,Urban,1,2287,2297,4584,Nairobi,NAIROBI,247
WESTLANDS,Urban,2,2354,2352,4706,Nairobi,NAIROBI,248
WESTLANDS,Urban,3,2369,2427,4796,Nairobi,NAIROBI,249
WESTLANDS,Urban,4,2216,2298,4514,Nairobi,NAIROBI,250
WESTLANDS,Urban,5,2157,2129,4286,Nairobi,NAIROBI,251
WESTLANDS,Urban,6,2050,2070,4120,Nairobi,NAIROBI,252
WESTLANDS,Urban,7,1890,1929,3819,Nairobi,NAIROBI,253
WESTLANDS,Urban,8,1928,1988,3916,Nairobi,NAIROBI,254
WESTLANDS,Urban,9,2008,2041,4049,Nairobi,NAIROBI,255
WESTLANDS,Urban,10,1959,2067,4026,Nairobi,NAIROBI,256
WESTLANDS,Urban,11,1683,1670,3353,Nairobi,NAIROBI,257
WESTLANDS,Urban,12,1850,1927,3777,Nairobi,NAIROBI,258
WESTLANDS,Urban,13,1768,1840,3608,Nairobi,NAIROBI,259
WESTLANDS,Urban,14,1648,1766,3414,Nairobi,NAIROBI,260
WESTLANDS,Urban,15,1671,1794,3465,Nairobi,NAIROBI,261
WESTLANDS,Urban,16,1629,2034,3663,Nairobi,NAIROBI,262
WESTLANDS,Urban,17,1788,2209,3997,Nairobi,NAIROBI,263
WESTLANDS,Urban,18,1959,2369,4328,Nairobi,NAIROBI,264
WESTLANDS,Urban,19,1940,2414,4354,Nairobi,NAIROBI,265
WESTLANDS,Urban,20,2433,3563,5996,Nairobi,NAIROBI,266
WESTLANDS,Urban,21,2498,3123,5621,Nairobi,NAIROBI,267
WESTLANDS,Urban,22,3065,3789,6854,Nairobi,NAIROBI,268
WESTLANDS,Urban,23,3384,3734,7118,Nairobi,NAIROBI,269
WESTLANDS,Urban,24,3374,3541,6915,Nairobi,NAIROBI,270
WESTLANDS,Urban,25,3583,3894,7477,Nairobi,NAIROBI,271
WESTLANDS,Urban,26,2949,3151,6100,Nairobi,NAIROBI,272
WESTLANDS,Urban,27,3096,3060,6156,Nairobi,NAIROBI,273
WESTLANDS,Urban,28,2885,3141,6026,Nairobi,NAIROBI,274
WESTLANDS,Urban,29,2677,2557,5234,Nairobi,NAIROBI,275
WESTLANDS,Urban,30,3551,3617,7168,Nairobi,NAIROBI,276
WESTLANDS,Urban,31,2055,1932,3987,Nairobi,NAIROBI,277
WESTLANDS,Urban,32,2681,2584,5265,Nairobi,NAIROBI,278
WESTLANDS,Urban,33,1906,1834,3740,Nairobi,NAIROBI,279
WESTLANDS,Urban,34,2213,2003,4216,Nairobi,NAIROBI,280
WESTLANDS,Urban,35,3137,2679,5816,Nairobi,NAIROBI,281
WESTLANDS,Urban,36,1968,1824,3792,Nairobi,NAIROBI,282
WESTLANDS,Urban,37,1981,1678,3659,Nairobi,NAIROBI,283
WESTLANDS,Urban,38,2029,1953,3982,Nairobi,NAIROBI,284
WESTLANDS,Urban,39,1907,1629,3536,Nairobi,NAIROBI,285
WESTLANDS,Urban,40,2622,2252,4874,Nairobi,NAIROBI,286
WESTLANDS,Urban,41,1321,1067,2388,Nairobi,NAIROBI,287
WESTLANDS,Urban,42,1724,1496,3220,Nairobi,NAIROBI,288
WESTLANDS,Urban,43,1397,1189,2586,Nairobi,NAIROBI,289
WESTLANDS,Urban,44,1347,976,2323,Nairobi,NAIROBI,290
WESTLANDS,Urban,45,1985,1524,3509,Nairobi,NAIROBI,291
WESTLANDS,Urban,46,1375,1079,2454,Nairobi,NAIROBI,292
WESTLANDS,Urban,47,1290,953,2243,Nairobi,NAIROBI,293
WESTLANDS,Urban,48,1293,1040,2333,Nairobi,NAIROBI,294
WESTLANDS,Urban,49,1320,979,2299,Nairobi,NAIROBI,295
WESTLANDS,Urban,50,1604,1251,2855,Nairobi,NAIROBI,296
WESTLANDS,Urban,51,932,608,1540,Nairobi,NAIROBI,297
WESTLANDS,Urban,52,1132,768,1900,Nairobi,NAIROBI,298
WESTLANDS,Urban,53,828,618,1446,Nairobi,NAIROBI,299
WESTLANDS,Urban,54,852,647,1499,Nairobi,NAIROBI,300
WESTLANDS,Urban,55,957,700,1657,Nairobi,NAIROBI,301
WESTLANDS,Urban,56,824,543,1367,Nairobi,NAIROBI,302
WESTLANDS,Urban,57,743,507,1250,Nairobi,NAIROBI,303
WESTLANDS,Urban,58,628,418,1046,Nairobi,NAIROBI,304
WESTLANDS,Urban,59,609,410,1019,Nairobi,NAIROBI,305
WESTLANDS,Urban,60,823,629,1452,Nairobi,NAIROBI,306
WESTLANDS,Urban,61,473,293,766,Nairobi,NAIROBI,307
WESTLANDS,Urban,62,521,378,899,Nairobi,NAIROBI,308
WESTLANDS,Urban,63,425,332,757,Nairobi,NAIROBI,309
WESTLANDS,Urban,64,425,301,726,Nairobi,NAIROBI,310
WESTLANDS,Urban,65,514,371,885,Nairobi,NAIROBI,311
WESTLANDS,Urban,66,261,201,462,Nairobi,NAIROBI,312
WESTLANDS,Urban,67,325,210,535,Nairobi,NAIROBI,313
WESTLANDS,Urban,68,259,200,459,Nairobi,NAIROBI,314
WESTLANDS,Urban,69,239,204,443,Nairobi,NAIROBI,315
WESTLANDS,Urban,70,349,357,706,Nairobi,NAIROBI,316
WESTLANDS,Urban,71,156,132,288,Nairobi,NAIROBI,317
WESTLANDS,Urban,72,212,169,381,Nairobi,NAIROBI,318
WESTLANDS,Urban,73,186,136,322,Nairobi,NAIROBI,319
WESTLANDS,Urban,74,144,122,266,Nairobi,NAIROBI,320
WESTLANDS,Urban,75,197,198,395,Nairobi,NAIROBI,321
WESTLANDS,Urban,76,133,112,245,Nairobi,NAIROBI,322
WESTLANDS,Urban,77,99,86,185,Nairobi,NAIROBI,323
WESTLANDS,Urban,78,115,96,211,Nairobi,NAIROBI,324
WESTLANDS,Urban,79,80,92,172,Nairobi,NAIROBI,325
WESTLANDS,Urban,80+,599,866,1465,Nairobi,NAIROBI,326
WESTLANDS,Urban,Age NS,200,245,445,Nairobi,NAIROBI,327
NYANDARUA NORTH,Urban,0,1285,1212,2497,Nyandarua,CENTRAL,328
NYANDARUA NORTH,Urban,1,1189,1143,2332,Nyandarua,CENTRAL,329
NYANDARUA NORTH,Urban,2,1315,1276,2591,Nyandarua,CENTRAL,330
NYANDARUA NORTH,Urban,3,1285,1330,2615,Nyandarua,CENTRAL,331
NYANDARUA NORTH,Urban,4,1428,1358,2786,Nyandarua,CENTRAL,332
NYANDARUA NORTH,Urban,5,1414,1324,2738,Nyandarua,CENTRAL,333
NYANDARUA NORTH,Urban,6,1376,1301,2677,Nyandarua,CENTRAL,334
NYANDARUA NORTH,Urban,7,1321,1259,2580,Nyandarua,CENTRAL,335
NYANDARUA NORTH,Urban,8,1268,1200,2468,Nyandarua,CENTRAL,336
NYANDARUA NORTH,Urban,9,1337,1230,2567,Nyandarua,CENTRAL,337
NYANDARUA NORTH,Urban,10,1338,1362,2700,Nyandarua,CENTRAL,338
NYANDARUA NORTH,Urban,11,1044,1022,2066,Nyandarua,CENTRAL,339
NYANDARUA NORTH,Urban,12,1327,1301,2628,Nyandarua,CENTRAL,340
NYANDARUA NORTH,Urban,13,1258,1215,2473,Nyandarua,CENTRAL,341
NYANDARUA NORTH,Urban,14,1134,1107,2241,Nyandarua,CENTRAL,342
NYANDARUA NORTH,Urban,15,1024,981,2005,Nyandarua,CENTRAL,343
NYANDARUA NORTH,Urban,16,973,958,1931,Nyandarua,CENTRAL,344
NYANDARUA NORTH,Urban,17,1028,929,1957,Nyandarua,CENTRAL,345
NYANDARUA NORTH,Urban,18,1051,887,1938,Nyandarua,CENTRAL,346
NYANDARUA NORTH,Urban,19,835,791,1626,Nyandarua,CENTRAL,347
NYANDARUA NORTH,Urban,20,904,954,1858,Nyandarua,CENTRAL,348
NYANDARUA NORTH,Urban,21,703,772,1475,Nyandarua,CENTRAL,349
NYANDARUA NORTH,Urban,22,835,890,1725,Nyandarua,CENTRAL,350
NYANDARUA NORTH,Urban,23,693,863,1556,Nyandarua,CENTRAL,351
NYANDARUA NORTH,Urban,24,707,839,1546,Nyandarua,CENTRAL,352
NYANDARUA NORTH,Urban,25,910,1123,2033,Nyandarua,CENTRAL,353
NYANDARUA NORTH,Urban,26,653,794,1447,Nyandarua,CENTRAL,354
